Index,Section,Name,Brewery,Style,Strength,Type,Style,Description,,,,
1,1,DROPPING F-BOMBS,7th Day Brewery (NSW) ,IPA - Hazy,8%,Hoppy (Juicy & Hazy) ,Adventurous ,"A super juicy hazy IPA with a passionfruit kick. With real fruit, dry and cold hopped, at 8% it's festival time!",,,,
2,1,PORTELLO JELLY SOUR,Bad Shepherd Brewing Co (VIC) ,Sour - Kettle Sour,7%,Sour/Tart (Fruit or Sweet) ,Stepping Up,"Bursting with rich, fruity grape and berry flavours and a hint of vanilla, this creamy, full-bodied sour packs a satisfying punch. Slightly sweet with just enough tart, it's grape flavoured liquid fizzy goodness.",,,,
3,1,BLUEBERRY CLOUDS ,Beerland Brewing (WA) ,Sour - Kettle Sour,7.50%,Sour/Tart (Fruity & Creamy) ,Stepping up ,"A classic 50/50 wheat and pilsner grist with a modern twist, kettle soured and fermented with 50 grams per litre of Australian blueberries. Lactose and vanilla added at different stages of the process add a creamy lolly like mouthfeel, while a late dry hop and high ABV lift this beer sky high. Finishing bold, bright and jammy.",,,,
4,1,BBQ SHAPES SOUR ,Blackman's Brewery (VIC) ,Sour - Gose,4.50%,Sour/Tart (Salty & Funky) ,Adventurous ,"A salty sour, loaded with boxes and boxes of BBQ shapes. We've also loaded up the boil with all the spices, paprika, onion, Worcestershire sauce, tomato and salt, lots of salt! All in the name of mimicking one of Australia's favourite biscuits!",,,,
5,1,SCHADENFRUEDE,Burnley Brewing (VIC),Sour - Lichtenhainer,4.20%,Sour/Tart (Funky & Smoky) ,Stepping Up ,"This beer takes blending to a confusingly refreshing level, mixing the good with the schadenfreude, the traditional with the ahhh, not so traditional? Sauerkraut Berliner Weisse mixed with our Bratwurst Rauchbier creating a classic German dish as a Lichtenhainer blend, a thing of German beauty without any of the rational work ethic.",,,,
6,1,THE PUPPET MASTER ,Co-Conspirators Brewing Co (VIC) ,Sour - Kettle Sour,8%,Sour/Tart (Funky & Fruity) ,Adventurous ,"Based on an Old Fashion cocktail, this kettle-soured beer has been aged in whiskey barrels to impart the essence of the cocktail and transport you to your favourite leather-bound chair. We have co-conspired with Marionette, an independent, Melbourne-based Distiller and use the locally-sourced bitter orange from the Bitter Curacao to add the splash of citrus to tantalise your tastebuds. Come and see us at our stand for the cocktail version of our GABS beer.",,,,
7,1,DARK RITUAL ,Deeds Brewing (VIC) ,Stout - Imperial,14.50%,Roast (Silky) ,Adventurous ,"A big, bold, thick viscous black Imperial Stout with a deep tan head. Aged for 12 months in bourbon barrels, the flavours cut deep with layers of chocolate, vanilla, oak, coconut, rum raisin and luscious dessert.",,,,
8,1,PANGO ,Flying Brick Cider Co (VIC) ,Specialty Cider,4.90%,Dry Traditional Cider (Fruity) ,Easier Drinking ,"A cloudy sunburnt orange appearance with sweet ripe mango flavours leaping out of the glass. Lush mango sweetness coasts in harmonious union with freshly crushed Victorian pears. Great balance and a long, crisp finish. PANGO is pure seduction, resistance is useless.",,,,
9,1,GOLDEN TIME SOUR,Gweilo Beer (HONG KONG) ,Sour - Kettle Sour,5.80%,Sour/Tart (Malty & Creamy) ,Stepping Up,"Biscuit, chocolate, toffee and vanilla bring sweetness to the party, balanced out by a kettle-soured base. Crack a can and you'll soon be having a gay old time!",,,,
10,1,ELDER DRAGON ,Inner North Brewing Co (VIC) ,Pale Ale - Other,5%,Hoppy (Fruity & Floral) ,Easier Drinking,"This hot pink pale ale combines elderflower and dragonfruit and proves that a beer can taste as fun as it looks. Low bitterness, fruity, fresh, and fragrant this is the beer for aspiring dragons young and old.",,,,
