Index	Section	Name	Brewery	Character	Strength	Complexity	Style	Description				
1	1	Sippin? Soda	Smiley Brewing Co	Fruity and Sweet	5	complexity	Cream Ale	"Effervescent and refreshing, this brew balances sweet creamy soda flavours with a mild hop bitterness. A nostalgic fusion of cream soda and craft beer, culminating in a smooth, creamy finish."				
2	1	Breakfast Red IPA	Aether Brewing	Hoppy (Sweet/Fruity)	6.5	complexity	IPA - Red	"Our Breakfast Red IPA isn?t just for morning people, pouring a rich amber-red with a frothy white pillowy head. A delightful mix of ripe raspberry jam, floral Earl Grey tea, and a touch of toasted bread deliver a rounded aroma; while on the palate, a juicy raspberry sweetness leads, balanced by a subtle bitterness from hops and a light citrusy tea note. A soft roasted malt backbone adds depth without overpowering the fruitiness resulting in a medium-bodied brew with a smooth mouthfeel and a dry, hoppy finish that even your Nan would approve of. Our Breakfast Red IPA is a cozy, complex, and refreshingly different like a jammy, tea-infused couch rave in a glass!"				
3	1	Chilli Pilli	2 Halfs Brewing Distilling	Crisp (Chilli)	5	complexity	Lager - Classic Pilsner	"We love to lager at 2 Halfs with a Pilsner, or two, always on tap. This time Kirk (Head Brewer) has performed a little brewing trick no one saw coming. He?s dropped a huge bag of red-hot chillies into the brew. Voila, birth of the Chilli Pilli. This non-traditional brew is equal amounts of Crisp, Dry and Heat. The 2 Halfs chilli pilsner is straw in colour, with a mixture of cracker and spice aromas. A delicious pilsner upfront on the palate with enough chilli burn to keep you coming back for another mouthful."				
4	1	El Frambueso Tequila Sour	BREWMANITY BEER CO	Fruity (Tart)	4.5	complexity	Sour - Berliner Weisse	"Tequila infused and steeped with frambueso (raspberries for those not fluent in Mexican!) our GABS beer is a tart and refreshing kettle soured delight! Inspired by the vibrant lifestyle and colourful celebrations of Mexico, the addition of late fermentation Frambueso has enhanced the tartness and is the base for its striking pinkish hue, while a dash of tequila brings the cha cha? as well as subtle peppery notes to the palate. Refreshingly tart, and perfectly playful? just as the brewer ordered!"				
5	1	Master of Shadows	Fox Friday	Roast (Rich & Sweet)	11	complexity	Bourbon Barrel Aged Imperial Stout	"Pouring as dark as night with viscosity for days, The Master Of Shadows is a beer that is both balanced and excessive. Coconut, chocolate and ample whiffs of bourbon float effortlessly across the palate while subtle vanilla notes and a roasty bitterness ties everything together nicely."				
6	1	Rainbow Icecream Sundae	Good Land Brewing Co	Sour (Fruity)	6	complexity	Sour - Smoothie	"Come visit the local Milk Bar. Grab yourself a Rainbow Ice Cream Cone. It?s a smoothie style sour brewed using our Sour Smoothie Base then loaded with a stupid amount of Strawberries, banana, cherry puree, blueberries, milk sugar, bubblegum and vanilla softserve icecream. Enjoy the Sundae!"				
7	1	"Scoop, There It Is"	Jetty Road Brewery	Crisp & Sweet	5	complexity	Cream Ale	"A creamy refreshing tribute to your favourite classic ice cream trio with chocolate, vanilla, and strawberry notes. Perfect for sunny afternoons, this indulgent brew blends nostalgia with coastal vibes in every sip."				
8	1	High Stakes Bramble	Slow Lane Brewing	Sour (Fruity)	6	complexity	Sour - Mixed Fermentation	"This mixed fermentation sour draws inspiration from the Bramble cocktail. Rich purple in colour, it delivers a balanced fusion of sweet blackberries, lively acidity, and earthy botanicals. A light maltiness amplifies the fruity notes, while juniper adds a herbal twist reminiscent of the classic cocktail. Subtle touches of citrus zest round out the flavour profile."				
9	1	A rose in every cheek	Captain Bligh's Brewery	Malt (Savoury)	5	complexity	Brown Ale - Australian	There is nothing like Vegemite on Toast after a night out on the beers! Why wait? Vegemite toast beer!!				
10	1	Mac n Maple Stack Brown	Earth Beer Company	Malt (Sweet & Nutty)	6	complexity	Brown Ale - American	Delicious Canadian Maple Syrup combined with toasted Macadamia on a rich malty brown body.				
